,Word,Frequency,Length
2,call,349,4
3,you,287,3
4,еј,270,2
5,your,263,4
6,free,219,4
8,for,203,3
9,now,190,3
10,or,188,2
12,u,155,1
13,txt,150,3
14,ur,144,2
16,have,135,4
17,from,129,4
18,mobile,124,6
19,and,122,3
20,text,121,4
21,stop,116,4
22,claim,113,5
23,with,109,4
24,reply,101,5
25,of,95,2
26,prize,92,5
27,this,87,4
28,our,85,3
29,only,84,4
30,get,83,3
32,just,77,4
33,no,77,2
35,won,73,3
36,p,70,1
37,nokia,69,5
38,new,69,3
39,send,67,4
40,urgent,63,6
41,cash,62,4
42,win,61,3
43,out,56,3
44,contact,56,7
45,service,55,7
46,please,54,6
47,i,54,1
48,we,53,2
49,be,52,2
50,guaranteed,50,10
51,who,49,3
52,week,49,4
53,customer,49,8
54,tone,48,4
55,per,46,3
56,phone,46,5
57,box,45,3
58,will,44,4
59,ppm,44,3
60,been,43,4
61,chat,43,4
62,mins,38,4
63,draw,38,4
64,awarded,38,7
65,latest,36,6
66,by,36,2
67,line,35,4
69,go,33,2
70,receive,33,7
71,camera,33,6
72,every,33,5
73,message,32,7
74,if,32,2
75,landline,32,8
76,holiday,32,7
77,shows,31,5
78,pobox,30,5
79,st,30,2
80,po,30,2
81,apply,30,5
82,me,30,2
83,number,30,6
84,more,30,4
85,has,30,3
86,can,29,3
87,code,29,4
88,live,29,4
89,tcs,29,3
90,video,29,5
91,want,29,4
92,it,28,2
93,all,28,3
94,award,28,5
95,chance,27,6
96,msg,27,3
97,collection,26,10
98,entry,26,5
99,pmin,26,4
100,ringtone,26,8
101,so,26,2
102,sms,26,3
103,orange,26,6
105,that,26,4
106,tones,25,5
107,any,25,3
108,offer,25,5
109,selected,25,8
110,network,25,7
111,know,25,4
112,not,24,3
113,mob,24,3
114,weekly,24,6
115,back,23,4
116,valid,23,5
117,m,23,1
118,do,23,2
119,find,23,4
120,cost,23,4
121,help,23,4
122,r,23,1
123,c,23,1
124,dont,22,4
125,word,22,4
126,attempt,22,7
127,hrs,22,3
128,an,22,2
129,collect,22,7
130,s,22,1
131,yes,21,3
132,tc,21,2
133,delivery,21,8
134,up,21,2
135,gift,21,4
136,b,21,1
137,sae,21,3
138,bonus,21,5
139,tscs,20,4
140,day,20,3
141,vouchers,20,8
142,club,20,4
143,rate,20,4
144,todays,20,6
145,music,20,5
146,nd,20,2
147,see,19,3
148,update,19,6
149,account,19,7
150,time,19,4
151,await,19,5
152,had,18,3
153,land,18,4
154,unsubscribe,18,11
155,private,18,7
156,poly,18,4
157,play,18,4
158,price,18,5
159,mths,18,4
160,services,17,8
161,what,17,4
162,texts,17,5
163,waiting,17,7
164,double,17,6
165,name,17,4
166,expires,17,7
167,pounds,17,6
168,tried,17,5
169,colour,17,6
170,dear,16,4
171,mobileupd,16,9
172,dating,16,6
173,auction,16,7
174,statement,16,9
175,wk,16,2
176,games,16,5
177,pmsg,16,4
178,final,16,5
179,join,16,4
180,hi,16,2
181,min,16,3
182,identifier,16,10
183,points,16,6
184,days,16,4
185,unredeemed,16,10
186,voucher,16,7
187,top,16,3
188,today,16,5
189,tell,16,4
190,winner,16,6
191,next,16,4
192,age,15,3
193,end,15,3
194,yours,15,5
195,ltd,15,3
196,camcorder,15,9
197,operator,15,8
198,uk,15,2
199,sexy,15,4
200,xmas,15,4
201,they,15,4
202,hot,15,3
203,trying,15,6
204,someone,14,7
205,t,14,1
207,congratulations,14,15
208,order,14,5
209,wkly,14,4
210,thanks,14,6
211,content,14,7
212,cs,14,2
213,take,14,4
214,yr,13,2
215,weeks,13,5
216,im,13,2
217,opt,13,3
218,over,13,4
219,half,13,4
220,offers,13,6
221,mates,13,5
222,quiz,13,4
223,like,13,4
224,txts,13,4
225,last,13,4
226,easy,13,4
227,savamob,13,7
228,worth,13,5
229,make,13,4
230,real,13,4
231,optout,13,6
232,k,12,1
233,when,12,4
234,eg,12,2
235,xxx,12,3
236,national,12,8
237,caller,12,6
238,good,12,4
239,ampm,12,4
240,player,12,6
241,her,12,3
242,x,12,1
243,important,12,9
244,calls,12,5
245,mobiles,12,7
246,anytime,12,7
247,ipod,12,4
248,why,12,3
249,rental,12,6
250,phones,12,6
251,pics,12,4
252,info,12,4
253,complimentary,12,13
254,freemsg,12,7
255,messages,11,8
256,its,11,3
257,dogging,11,7
258,motorola,11,8
259,special,11,7
260,hmv,11,3
261,friend,11,6
262,g,11,1
263,my,11,2
264,there,11,5
265,charged,11,7
266,sex,11,3
267,pls,11,3
268,great,11,5
269,valued,11,6
270,reward,10,6
271,unlimited,10,9
272,secret,10,6
273,admirer,10,7
274,f,10,1
275,wap,10,3
276,wanna,10,5
277,sent,10,4
278,direct,10,6
279,uks,10,3
280,choose,10,6
281,txting,10,6
282,thinks,10,6
283,part,10,4
284,between,10,7
285,enter,10,5
286,welcome,10,7
287,ldn,10,3
288,love,10,4
289,need,10,4
290,representative,10,14
291,then,10,4
292,ntt,10,3
293,news,10,4
294,comp,10,4
295,tomorrow,10,8
296,enjoy,10,5
297,custcare,10,8
298,congrats,10,8
299,currently,10,9
300,speak,10,5
301,charge,10,6
302,either,10,6
303,credits,9,7
304,fancy,9,5
305,discount,9,8
306,re,9,2
307,rates,9,5
308,wwwgetzedcouk,9,13
309,pm,9,2
310,charity,9,7
311,del,9,3
312,game,9,4
313,looking,9,7
314,best,9,4
315,numbers,9,7
316,fun,9,3
317,flag,9,4
318,n,9,1
319,std,9,3
320,bluetooth,9,9
321,specially,9,9
322,was,9,3
323,pic,9,3
324,credit,9,6
325,england,9,7
326,date,9,4
327,shopping,8,8
328,specialcall,8,11
329,which,8,5
330,hl,8,2
331,lucky,8,5
332,rreveal,8,7
333,ufind,8,5
334,area,8,4
335,hgsuitelands,8,12
336,us,8,2
337,freephone,8,9
338,euro,8,4
339,entitled,8,8
340,matches,8,7
341,sunshine,8,8
342,rowwjhl,8,7
343,how,8,3
344,one,8,3
345,sony,8,4
346,babe,8,4
347,each,8,4
348,use,8,3
349,details,8,7
350,user,8,4
351,btnationalrate,8,14
352,inc,8,3
353,ending,8,6
354,answer,8,6
355,awaiting,8,8
356,terms,8,5
357,polys,8,5
358,summer,8,6
359,store,8,5
360,cd,8,2
361,information,8,11
362,digital,8,7
363,cashbalance,7,11
364,visit,7,5
365,croydon,7,7
366,wb,7,2
367,maximize,7,8
368,spree,7,5
369,tenerife,7,8
370,minute,7,6
371,loyalty,7,7
372,horny,7,5
373,sub,7,3
374,rcvd,7,4
375,unsub,7,5
376,cr,7,2
377,within,7,6
378,gb,7,2
379,e,7,1
380,still,7,5
381,got,7,3
382,access,7,6
383,may,7,3
384,cashin,7,6
385,costa,7,5
386,could,7,5
387,weekends,7,8
388,fantastic,7,9
389,years,7,5
390,well,7,4
391,extra,7,5
392,miss,7,4
393,should,7,6
394,onto,7,4
395,gr,7,2
396,about,7,5
397,but,7,3
398,saturday,7,8
399,yrs,7,3
400,bid,7,3
401,log,7,3
402,guess,7,5
403,pound,7,5
404,dvd,7,3
405,sol,7,3
406,give,7,4
407,skxh,7,4
408,plus,7,4
409,etc,7,3
410,here,6,4
411,sipix,6,5
412,flights,6,7
413,normptone,6,9
414,ans,6,3
415,questions,6,9
416,o,6,1
417,standard,6,8
418,wwq,6,3
419,match,6,5
420,try,6,3
421,shop,6,4
422,vary,6,4
423,tariffs,6,7
424,year,6,4
425,bx,6,2
426,gay,6,3
427,arrive,6,6
428,asked,6,5
429,replying,6,8
430,asap,6,4
431,arcade,6,6
432,calling,6,7
433,being,6,5
434,first,6,5
435,keep,6,4
436,zed,6,3
437,uve,6,3
438,mp,6,2
439,night,6,5
440,entered,6,7
442,cc,6,2
443,some,6,4
444,weekend,6,7
445,meet,6,4
446,announcement,6,12
447,hours,6,5
448,tncs,6,4
449,even,6,4
450,inviting,6,8
451,frnd,6,4
452,handset,6,7
453,httpwwwurawinnercom,6,19
454,luck,6,4
455,guys,6,4
456,months,6,6
457,link,6,4
458,goto,6,4
459,tv,6,2
460,pc,6,2
461,msgs,6,4
462,maxmins,6,7
463,costејpm,6,8
464,holder,6,6
465,stockport,6,9
466,fantasies,6,9
467,toclaim,6,7
468,vodafone,6,8
469,ready,6,5
470,cant,5,4
471,linerental,5,10
472,fantasy,5,7
473,ptone,5,5
474,spook,5,5
475,xx,5,2
476,java,5,4
477,eerie,5,5
478,xpwk,5,4
479,rentl,5,5
480,noline,5,6
481,dload,5,5
482,before,5,6
483,wid,5,3
484,ringtones,5,9
485,girl,5,4
486,sonyericsson,5,12
487,videochat,5,9
488,videophones,5,11
489,girls,5,5
490,records,5,7
491,computer,5,8
492,ејwk,5,4
493,gbp,5,3
494,place,5,5
495,polyphonic,5,10
496,member,5,6
497,fone,5,4
498,lets,5,4
499,book,5,4
500,activate,5,8
501,official,5,8
502,until,5,5
503,reach,5,5
504,inclusive,5,9
505,ip,5,2
506,xchat,5,5
507,these,5,5
508,invited,5,7
509,wwwcomuknet,5,11
510,surprise,5,8
511,contacted,5,9
512,poboxwwq,5,8
513,eve,5,3
514,login,5,5
515,immediately,5,11
516,after,5,5
517,care,5,4
518,revealed,5,8
519,talk,5,4
520,friends,5,7
521,cds,5,3
522,rply,5,4
523,crazy,5,5
524,cum,5,3
525,december,5,8
526,click,5,5
527,v,5,1
528,local,5,5
529,cancel,5,6
530,minutes,5,7
531,must,5,4
532,selection,5,9
533,sim,5,3
534,pass,5,4
535,bt,5,2
536,following,5,9
537,locations,5,9
538,singles,5,7
539,quoting,5,7
540,voda,5,4
541,luv,5,3
542,sport,5,5
543,hey,5,3
544,co,5,2
545,cup,5,3
546,th,5,2
547,ok,5,2
548,partner,5,7
549,start,5,5
550,wwwtcbiz,5,8
551,ntwk,4,4
552,theres,4,6
553,largest,4,7
554,ring,4,4
555,sptyrone,4,8
556,ansr,4,4
557,done,4,4
558,country,4,7
559,muz,4,3
560,q,4,1
561,sky,4,3
562,wwwldewcomwinppmxage,4,20
563,were,4,4
564,would,4,5
565,qxj,4,3
566,flirt,4,5
567,off,4,3
568,eca,4,3
569,break,4,5
570,forwarded,4,9
571,netcollex,4,9
572,ref,4,3
573,wan,4,3
574,starts,4,6
575,txtauction,4,10
576,wwx,4,3
577,ae,4,2
578,eng,4,3
579,yer,4,3
580,daily,4,5
581,starting,4,8
582,freefone,4,8
583,month,4,5
584,nothing,4,7
585,cm,4,2
586,exciting,4,8
587,picked,4,6
588,future,4,6
589,subscription,4,12
590,subscriber,4,10
591,hope,4,4
592,santa,4,5
593,bored,4,5
594,nite,4,4
595,pod,4,3
596,pmsgrcvdhgsuitelandsrowwjhl,4,27
597,other,4,5
598,rcv,4,3
599,d,4,1
600,takes,4,5
601,rally,4,5
602,question,4,8
603,delivered,4,9
604,tkts,4,4
605,original,4,8
606,wwwringtonescouk,4,16
607,txtin,4,5
608,fa,4,2
609,registered,4,10
610,brand,4,5
611,reveal,4,6
612,going,4,5
613,cust,4,4
614,remove,4,6
615,ibiza,4,5
616,vip,4,3
617,alert,4,5
618,address,4,7
619,trip,4,4
620,review,4,6
621,bahamas,4,7
622,sale,4,4
623,ac,4,2
624,cheap,4,5
625,money,4,5
626,away,4,4
627,action,4,6
628,getting,4,7
629,moby,4,4
630,correct,4,7
631,contract,4,8
632,london,4,6
633,adult,4,5
634,porn,4,4
635,app,4,3
636,logo,4,4
637,reference,4,9
638,think,4,5
639,close,4,5
640,post,4,4
641,check,4,5
642,stoptxt,4,7
643,wcnxx,4,5
644,loan,4,4
645,purpose,4,7
646,tenants,4,7
647,ends,4,4
648,refused,4,7
649,show,4,4
650,fromm,4,5
651,youve,4,5
652,conditions,4,10
653,cwwx,4,4
654,card,4,4
655,team,3,4
656,xxxxxxxxx,3,9
657,receipt,3,7
658,boxnqp,3,6
659,nat,3,3
660,right,3,5
661,abta,3,4
662,xxxxxxx,3,7
663,verify,3,6
664,save,3,4
665,deliveredtomorrow,3,17
666,php,3,3
667,mix,3,3
668,bcm,3,3
669,password,3,8
670,comuk,3,5
671,again,3,5
672,alfie,3,5
673,high,3,4
674,true,3,4
675,people,3,6
676,members,3,7
677,downloads,3,9
678,city,3,4
679,notice,3,6
680,advise,3,6
681,skilgme,3,7
682,provided,3,8
683,helpp,3,5
684,ever,3,4
685,life,3,4
686,orstoptxt,3,9
687,sept,3,4
688,wu,3,2
689,laid,3,4
690,subpoly,3,7
691,children,3,8
692,previously,3,10
693,callback,3,8
694,homeowners,3,10
695,paris,3,5
696,moons,3,5
697,nokias,3,6
698,simply,3,6
699,song,3,4
700,cinema,3,6
701,suprman,3,7
702,till,3,4
703,buy,3,3
704,matrix,3,6
705,validhrs,3,8
706,starwars,3,8
707,liverpool,3,9
708,tcrw,3,4
709,bxipwe,3,6
710,bill,3,4
711,chosen,3,6
712,tickets,3,7
713,tour,3,4
714,themob,3,6
715,pleased,3,7
716,biggest,3,7
717,little,3,6
718,hard,3,4
719,ordered,3,7
720,sorry,3,5
721,male,3,4
722,recent,3,6
723,king,3,4
724,super,3,5
725,polyph,3,6
726,competition,3,11
727,press,3,5
728,stay,3,4
729,ms,3,2
730,shortly,3,7
731,does,3,4
732,profit,3,6
733,ave,3,3
734,recd,3,4
735,wont,3,4
736,comes,3,5
737,five,3,4
738,costs,3,5
739,truly,3,5
740,sk,3,2
741,wks,3,3
742,wp,3,2
743,hear,3,4
744,supply,3,6
745,fancies,3,7
746,title,3,5
747,newest,3,6
748,billed,3,6
749,hello,3,5
750,titles,3,6
751,purchase,3,8
752,settings,3,8
753,mobilesdirect,3,13
754,heart,3,5
755,gbpmtmsg,3,8
756,germany,3,7
757,rude,3,4
758,while,3,5
759,heard,3,5
760,celeb,3,5
761,ldnwh,3,5
762,pocketbabecouk,3,14
763,also,3,4
764,ibhltd,3,6
765,sam,3,3
766,download,3,8
767,voicemail,3,9
768,many,3,4
769,pence,3,5
770,cross,3,5
771,work,3,4
772,choice,3,6
773,pix,3,3
774,pmtmsgrcvd,3,10
775,hgsuitelandsrowwjhl,3,19
776,textoperator,3,12
777,photo,3,5
778,sp,3,2
779,soon,3,4
780,via,3,3
781,look,3,4
782,halloween,3,9
783,kick,3,4
784,id,3,2
785,dream,3,5
786,kept,3,4
787,results,3,7
788,saucy,3,5
789,further,3,7
790,mono,3,4
791,followed,3,8
792,postcode,3,8
793,logopic,3,7
794,six,3,3
795,gbpweek,3,7
796,energy,3,6
797,arsenal,3,7
798,genuine,3,7
799,alone,3,5
800,lions,3,5
801,maxеј,3,5
802,med,3,3
803,pwk,3,3
804,hit,3,3
805,infowwwpercentrealcom,3,21
806,uu,3,2
807,boxqu,3,5
808,tcsstop,3,7
809,subs,3,4
810,available,3,9
811,amazing,3,7
812,uz,3,2
813,ts,3,2
814,yesterday,3,9
815,town,3,4
816,tmobile,3,7
817,upgrade,3,7
818,valentines,3,10
819,subscribed,3,10
820,wwwsmsacunat,2,12
821,natalja,2,7
822,ghost,2,5
823,wiv,2,3
824,readers,2,7
825,married,2,7
826,callsејminmoremobsemspoboxpowa,2,30
827,balance,2,7
828,jamster,2,7
829,dracula,2,7
830,dayfind,2,7
831,addamsfa,2,8
832,among,2,5
833,harry,2,5
834,indicate,2,8
835,munsters,2,8
836,accident,2,8
837,phoenix,2,7
838,cam,2,3
839,twilight,2,8
840,potter,2,6
841,improved,2,8
842,reality,2,7
843,pt,2,2
844,maybe,2,5
845,notxtcouk,2,9
846,msgp,2,4
847,hlp,2,3
848,than,2,4
849,interflora,2,10
850,driving,2,7
851,youre,2,5
852,lionp,2,5
853,msgsp,2,5
854,lionm,2,5
855,wwwmovietriviatv,2,16
856,mxy,2,3
857,scotsman,2,8
858,exorcist,2,8
859,support,2,7
860,sending,2,7
861,mnths,2,5
862,calloptoutlf,2,12
863,leave,2,5
864,wwwldewcom,2,10
865,hotel,2,5
866,wj,2,2
867,busy,2,4
868,explicit,2,8
869,added,2,5
870,henry,2,5
871,goal,2,4
872,lookatme,2,8
873,secs,2,4
874,wwwtextpodnet,2,13
875,callsејminmobsmorelkpoboxhpfl,2,29
876,subscribegbpmnth,2,16
877,fri,2,3
878,claire,2,6
879,village,2,7
880,lucy,2,4
881,warner,2,6
882,ones,2,4
883,lotr,2,4
884,randomly,2,8
885,removal,2,7
886,loyal,2,5
887,costing,2,7
888,donate,2,6
889,jsco,2,4
890,swss,2,4
891,customers,2,9
892,polyh,2,5
893,another,2,7
894,everyone,2,8
895,hotels,2,6
896,freeday,2,7
897,georges,2,7
898,british,2,7
899,jordantxt,2,9
900,mad,2,3
901,seeds,2,5
902,polo,2,4
903,since,2,5
904,bulbs,2,5
905,very,2,4
906,visionsmscom,2,12
907,suite,2,5
908,garden,2,6
909,ve,2,2
910,feeling,2,7
911,bears,2,5
912,upload,2,6
913,warm,2,4
914,due,2,3
915,sing,2,4
916,where,2,5
917,wallpaper,2,9
918,stoptxtstop,2,11
919,wa,2,2
920,received,2,8
921,believe,2,7
922,bloomberg,2,9
923,blow,2,4
924,things,2,6
925,learn,2,5
926,incredible,2,10
927,term,2,4
928,gettin,2,6
929,shagged,2,7
930,home,2,4
931,sat,2,3
932,thurs,2,5
933,cdgt,2,4
934,ејmsg,2,5
935,symbol,2,6
936,nasdaq,2,6
937,lost,2,4
938,mind,2,4
939,satisfy,2,7
940,pick,2,4
941,drinks,2,6
942,unable,2,6
943,recently,2,8
944,tonights,2,8
945,hols,2,4
946,stamped,2,7
947,self,2,4
948,envelope,2,8
949,bray,2,4
950,ppermesssubscription,2,20
951,wicklow,2,7
952,eire,2,4
953,wwwidewcom,2,10
954,skillgame,2,9
955,winaweek,2,8
956,ptxt,2,4
957,ofwd,2,4
958,oranges,2,7
959,upd,2,3
960,reschedule,2,10
961,brought,2,7
962,picsfree,2,8
963,gamestar,2,8
964,active,2,6
965,ејk,2,3
966,scoring,2,7
967,register,2,8
968,nowsky,2,6
969,unbreakable,2,11
970,football,2,8
971,westlife,2,8
972,meetgreet,2,9
973,bloombergcom,2,12
974,httpcareers,2,11
975,wait,2,4
976,center,2,6
977,aclpm,2,5
978,follow,2,6
979,untamed,2,7
980,lp,2,2
981,cornwall,2,8
982,mailbox,2,7
983,messaging,2,9
984,retrieve,2,8
985,pub,2,3
986,quizwin,2,7
987,street,2,6
988,duchess,2,7
989,norm,2,4
990,instructions,2,12
991,explosive,2,9
992,strongbuy,2,9
993,knock,2,5
994,issues,2,6
995,granite,2,7
996,bank,2,4
997,unkempt,2,7
998,films,2,5
999,include,2,7
1000,ringtoneget,2,11
1001,ocoukgames,2,10
1002,space,2,5
1003,current,2,7
1004,invaders,2,8
1005,luxury,2,6
1006,orig,2,4
1007,film,2,4
1008,console,2,7
1009,big,2,3
1010,canary,2,6
1011,them,2,4
1012,mr,2,2
1013,foley,2,5
1014,charges,2,7
1015,la,2,2
1016,prizes,2,6
1017,receiving,2,9
1018,spanish,2,7
1019,nowt,2,4
1020,baby,2,4
1021,boys,2,4
1022,freesend,2,8
1023,burger,2,6
1024,weekstop,2,8
1025,connect,2,7
1026,vu,2,2
1027,bcmwcnxx,2,8
1028,wow,2,3
1029,poboxwtgp,2,9
1030,missed,2,6
1031,islands,2,7
1032,callfreefone,2,12
1033,cruise,2,6
1034,ofеј,2,4
1035,ibh,2,3
1036,txtauctiontxt,2,13
1037,wordstart,2,9
1038,landlines,2,9
1039,wwwwincouk,2,10
1040,men,2,3
1041,str,2,3
1042,growing,2,7
1043,fastest,2,7
1044,increments,2,10
1045,movie,2,5
1046,pptxt,2,5
1047,mtalk,2,5
1048,enjoyed,2,7
1049,blonde,2,6
1050,yet,2,3
1051,mila,2,4
1052,tonesyoucouk,2,12
1053,using,2,5
1054,class,2,5
1055,sports,2,6
1056,aom,2,3
1057,gender,2,6
1058,funk,2,4
1059,careful,2,7
1060,straight,2,8
1061,widelivecomindex,2,16
1062,wet,2,3
1063,btnational,2,10
1064,housewives,2,10
1065,calloptout,2,10
1066,gga,2,3
1067,upto,2,4
1068,cameravideo,2,11
1069,httptms,2,7
1070,prompts,2,7
1071,btooth,2,6
1072,blu,2,3
1073,tnc,2,3
1074,iscoming,2,8
1075,tonesu,2,6
1076,tells,2,5
1077,personal,2,8
1078,eye,2,3
1079,textpod,2,7
1080,sue,2,3
1081,wkentp,2,6
1082,lshb,2,4
1083,dateboxessexcmxn,2,16
1084,secretly,2,8
1085,somebody,2,8
1086,enough,2,6
1087,did,2,3
1088,unique,2,6
1089,promo,2,5
1090,filthy,2,6
1091,community,2,9
1092,lover,2,5
1093,company,2,7
1094,psms,2,4
1095,pday,2,4
1096,ag,2,2
1097,sptv,2,4
1098,lines,2,5
1099,names,2,5
1100,wwwtxtshopcom,2,13
1101,tsandcs,2,7
1102,joined,2,6
1103,august,2,6
1104,aj,2,2
1105,todayfrom,2,9
1106,tscswinawkage,2,13
1107,tulip,2,5
1108,chart,2,5
1109,shracomorsglsuplt,2,17
1110,boxskch,2,7
1111,violet,2,6
1112,networks,2,8
1113,herself,2,7
1114,compare,2,7
1115,dot,2,3
1116,flower,2,6
1117,chatting,2,8
1118,eastenders,2,10
1119,csh,2,3
1120,wwwtxttowincouk,2,15
1121,star,2,4
1122,horo,2,4
1123,ејperwksub,2,10
1124,ls,2,2
1125,informed,2,8
1126,kickoff,2,7
1127,lux,2,3
1128,claims,2,6
1129,web,2,3
1130,come,2,4
1131,mid,2,3
1132,played,2,6
1133,fixedline,2,9
1134,crbt,2,4
1135,travel,2,6
1136,drop,2,4
1137,collected,2,9
1138,hardcore,2,8
1139,xxxxxx,2,6
1140,usher,2,5
1141,cha,2,3
1142,wwwsmsconet,2,11
1143,britney,2,7
1144,discreet,2,8
1145,most,2,4
1146,pmsgp,2,5
1147,fml,2,3
1148,gent,2,4
1149,tonight,2,7
1150,algarve,2,7
1151,reminder,2,8
1152,ldnwarw,2,7
1153,mobno,2,5
1154,ads,2,3
1155,adam,2,4
1156,cashto,2,6
1157,getstop,2,7
1158,membership,2,10
1159,jackpot,2,7
1160,yahoo,2,5
1161,peak,2,4
1162,cheaper,2,7
1163,txtno,2,5
1164,because,2,7
1165,wwwcom,2,6
1166,wwwdbuknet,2,10
1167,lccltd,2,6
1168,july,2,4
1169,acoentry,2,8
1170,dave,2,4
1171,arrange,2,7
1172,channel,2,7
1173,randy,2,5
1174,nyt,2,3
1175,lily,2,4
1176,sign,2,4
1177,le,2,2
1178,fil,2,3
1179,search,2,6
1180,nights,2,6
1181,gaytextbuddycom,2,15
1182,httpwwwetlpcoukexpressoffer,2,27
1183,rstm,2,4
1184,sw,2,2
1185,blind,2,5
1186,ss,2,2
1187,callcost,2,8
1188,premium,2,7
1189,mobilesvary,2,11
1190,email,2,5
1191,fixed,2,5
1192,jordan,2,6
1193,wwwldewcomsubswinppmx,2,21
1194,questionstd,2,11
1195,dis,2,3
1196,helpline,2,8
1197,pmtmsg,2,6
1198,wish,2,4
1199,wwwtxtcom,2,9
1200,forget,2,6
1201,tctxt,2,5
1202,offerthe,2,8
1203,eurodisinc,2,10
1204,listen,2,6
1205,lifetime,2,8
1206,nok,2,3
1207,prepayment,2,10
1208,him,2,3
1209,textbuddy,2,9
1210,around,2,6
1211,hungry,2,6
1212,premier,2,7
1213,lots,2,4
1214,old,2,3
1215,packs,2,5
1216,tcsbcmwcnxx,2,11
1217,calloptoutndx,2,13
1218,chances,2,7
1219,wwwtextcompcom,2,14
