Sentence,Length
dear voucher holder  claim your st class airport lounge passes when using your holiday voucher call  when booking quote st class x ,131
bloomberg message center  why wait apply for your future httpcareers bloombergcom,81
yes the only place in town to meet exciting adult singles is now in the uk txt chat to  now pmsg,96
free for st week no nokia tone  ur mob every week just txt nokia to  get txting and tell ur mates wwwgetzedcouk pobox  wwq normptone ,133
someone u know has asked our dating service  contact you cant guess who call  now all will be revealed pobox  sxy p ,116
mila age blonde new in uk i look sex with uk guys if u like fun with me text mtalk to   pptxt st free еј increments help,120
claim a  shopping spree just call  now have you won mobstorequizppm,67
want to funk up ur fone with a weekly new tone reply tonesu  this text wwwringtonescouk the original n best tones gbp network operator rates apply,146
twinks bears scallies skins and jocks are calling now dont miss the weekends fun call  at pmin  stop texts call nat rate,120
we tried to contact you re your reply to our offer of a video handset  anytime any networks mins unlimited text camcorder reply or call  now,140
urgent we are trying to contact you last weekends draw shows that you have won a еј prize guaranteed call  claim code k valid hours only,136
 xmas iscoming  ur awarded either еј cd gift vouchers  free entry  r еј weekly draw txt music to  tnc,101
congratulations u can claim  vip row a tickets  c blu in concert in november or blu gift guaranteed call  to claim tscs wwwsmsconet costејmax ,142
fantasy football is back on your tv go to sky gamestar on sky active and play ејk dream team scoring starts on saturday so register nowsky opt out to ,150
free msg single find a partner in your area s of real people are waiting to chat nowsend chat to cncl send stopcs еј per msg,124
win the newest етharry potter and the order of the phoenix book  reply harry answer  questions  chance to be the first among readers,132
free msg ringtonefrom httptms widelivecomindex wmlidbaeceffffirsttruejul,72
oh my god ive found your number again im so glad text me back xafter this msgs cst std ntwk chg еј,98
a link to your picture has been sent you can also use httpaltocoukwavewaveaspo,78
double mins   txts on orange tariffs latest motorola sonyericsson  nokia with bluetooth free call mobileupd on  or calloptouthf,127
urgent this is our nd attempt to contact u your еј prize from yesterday is still awaiting collection to claim call now  aclpm,125
dear dave this is your final notice to collect your  tenerife holiday or  cash award call  from landline tcs sae box cwwx ppm,125
tells u  call  to claim еј prize u have  enter all ur mobile  personal details  the prompts careful,99
your  account for xxxxxxxxx shows  unredeemed points to claim call  identifier code xxxxx expires ,98
do you want a new video handset  anytime any network mins half price line rental camcorder reply or call  for delivery tomorrow,127
you have an important customer service announcement call freephone    now,73
freeringtone reply real or poly eg real  pushbutton  dontcha  babygoodbye  golddigger  webeburnin st tone free and  more when u join for ејwk,141
free msg get gnarls barkleys crazy ringtone totally free just reply go to this message right now,96
refused a loan secured or unsecured cant get credit call free now    or text back help  we will,95
you have been specially selected to receive a  award call  before the lines close cost ppm  tcs apply ag promo,110
you have won as a valued vodafone customer our computer has picked you to win a еј prize to collect is easy just call ,118
free video camera phones with half price line rental for  mths and  cross ntwk mins  txts call mobileupd  or calloptout,119
great new offer  double mins  double txt on best orange tariffs and get latest camera phones  free call mobileupd free on  now or stoptxt tcs,141
ringtoneking ,13
ringtone club gr new polys direct to your mobile every week ,60
bank of granite issues strongbuy explosive pick for our members up over   nasdaq symbol cdgt that is a  per,107
bored housewives chat n date now  btnational rate pmin only from landlines,74
we tried to call you re your reply to our sms for a video mobile  mins unlimited text free camcorder reply or call now  del thurs,129
this is the nd time we have tried to contact u u have won the еј prize  claim is easy just call  now only p per minute btnationalrate,133
wan win a meetgreet with westlife  u or a m they are currently on what tour unbreakable untamed unkempt text  or  to  cost p std text,133
please call our customer service representative on freephone    between ampm as you have won a guaranteed еј cash or еј prize,125
you will be receiving this weeks triple echo ringtone shortly enjoy it,70
uve been selected to stay in  of  top british hotels  for nothing holiday valued at еј dial  to claim  national rate call bx swss,129
you are chosen to receive a еј award pls call claim number  to collect your award which you are selected to receive as a valued mobile customer,143
please call our customer service representative on freephone    between ampm as you have won a guaranteed еј cash or еј prize,125
win a еј cash prize or a prize worth еј,39
thanks for your ringtone order reference number xyour mobile will be charged  should your tone not arrive please call customer services ,136
moby pub quizwin a еј high street prize if u know who the new duchess of cornwall will be txt her first name to unsub stop еј  sp,129
this weeks savamob member offers are now accessible just call  for details savamob pobox  la wu only ејweek savamob  offers mobile,130
you are being contacted by our dating service by someone you know to find out who it is call from your mobile or landline  poboxldns ,133
tbspersolvo been chasing us since sept forеј definitely not paying now thanks to your information we will ignore them kath manchester,133
loans for any purpose even if you have bad credit tenants welcome call noworriesloanscom on ,92
 kick off a new season with wks free goals  news to ur mobile txt ur club name to  eg villa to ,95
orange brings you ringtones from all time chart heroes with a free hit each week go to ringtones  pics on wap to stop receiving these tips reply stop,149
private your  account statement for  shows  unredeemed s i m points call  identifier code  expires ,99
we tried to call you re your reply to our sms for a video mobile  mins unlimited text  free camcorder reply of call  now,120
gsoh good with spam the ladiesu could b a male gigolo  join the uks fastest growing mens club reply oncall mjzgroup stop reply stop msgејrcvd,141
u have a secret admirer who is looking  make contact with ufind out who they rreveal who thinks ur so specialcall on ,117
hot live fantasies call now  just p per min ntt ltd po box  croydon cr wb  is a national rate call,98
urgent your mobile number has been awarded a ukp prize guaranteed call  from landline claim  valid hrs only ppm,111
spjanuary male sale hot gay chat now cheaper call  national rate from pmin cheap to pmin peak to stop texts call  pmin,118
freemsg todays the day if you are ready im horny  live in your town i love sex fun  games netcollex ltd p per msg reply stop to end,131
in the simpsons movie released in july  name the band that died at the start of the film agreen day bblue day cred day send a b or c,132
please call amanda with regard to renewing or upgrading your current tmobile handset free of charge offer ends today tel    subject to ts and cs,144
urgent your  costa del sol holiday or еј await collection call  now toclaim sae tc s pobox stockport skxh costејpm maxmins,122
want a new video phone  anytime any network mins half price line rental free text for  months reply or call  for free delivery,126
had your mobile  months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on ,139
dear voucher holder to claim this weeks offer at your pc please go to httpwwwwtlpcouktext tscs apply,100
congrats nokia  video camera phone is your call  calls cost ppm ave call mins vary from mobiles  close  post bcm ldn wcnxx,122
urgent please call  your abta complimentary  spanish holiday or еј cash await collection sae tcs box  po ez ppm ,112
double mins and txts  months free bluetooth on orange available on sony nokia motorola phones call mobileupd on  or calloptoutndx,129
free for st week no nokia tone  ur mob every week just txt nokia to  get txting and tell ur mates wwwgetzedcouk pobox  wwq normptone ,133
want to funk up ur fone with a weekly new tone reply tonesu  this text wwwringtonescouk the original n best tones gbp network operator rates apply,146
cmon babe make me horny turn me on txt me your fantasy now babe  im hot sticky and need you now all replies cost еј  cancel send stop,133
important information  orange user xxxxxx today is ur lucky day find out why log onto httpwwwurawinnercom theres a fantastic prizeawaiting you,142
missed call alert these numbers called but left no message ,59
freemsg our records indicate you may be entitled to  pounds for the accident you had to claim for free reply with yes to this msg to opt out text stop,150
u can win еј of music gift vouchers every week starting now txt the word draw to  tscs wwwidewcom skillgame winaweek age ppermesssubscription,141
show ur colours euro   offer get an england flag  lions tone on ur phone click on the following service message for info,120
text pass to  to collect your polyphonic ringtones normal gprs charges apply only enjoy your tones,98
accordingly i repeat just text the word ok on your mobile phone and send,72
block breaker now comes in deluxe format with new features and great graphics from tmobile buy for just еј by replying get bbdeluxe and take the challenge,154
important information  orange user  today is your lucky dayfind out why log onto httpwwwurawinnercom theres a fantastic surprise awaiting you,141
natalja f is inviting you to be her friend reply yes or no see her wwwsmsacunat stop send stop frnd to ,103
urgent important information for  user today is your lucky day  find out why  log onto httpwwwurawinnercom there is a fantastic surprise awaiting you ,150
winner as a valued network customer you have been selected to receivea еј prize reward to claim call  claim code kl valid  hours only,133
kit strip  you have been billed p netcollex ltd po box  ig oja,62
hmv bonus special  pounds of genuine hmv vouchers to be won just answer  easy questions play now send hmv to  more infowwwpercentrealcom,136
please call  immediately as there is an urgent message waiting for you,70
thesmszonecom lets you send free anonymous and masked messagesim sending this message from theredo you see the potential for abuse,130
well done your  costa del sol holiday or еј await collection call  now toclaim sae tcs pobox stockport skxh costејpm maxmins,124
someone u know has asked our dating service  contact you cant guess who call  now all will be revealed po box m wu,114
congrats  mobile g videophones r yours call  now videochat wid ur mates play java games dload polyh music noline rentl bx ip we pm,130
u  have a secret admirer who is looking  make contact with ufind out who they rreveal who thinks ur so specialcall on ,118
important information  orange user xxxxxxx today is your lucky dayfind out why log onto httpwwwurawinnercom theres a fantastic surprise awaiting you,148
our dating service has been asked  contact u by someone shy call  now all will be revealed pobox m uz p,103
do you want a new video handset  any time any network mins unlimited text camcorder reply or call now  for del sat am,117
ur balance is now еј next question complete the landmark big a bob b barry or c ben  text a b or c to  good luck,112
ur tonexs subscription has been renewed and you have been charged еј you can choose  more polys this month wwwclubzedcouk billing msg,133
if you dont your prize will go to another customer tc at wwwtcbiz  pmin polo ltd suite  london wj hl please call back if busy,125
do you want a new nokia i colour phone delivered tomorrow with  free minutes to any mobile   free text  free camcorder reply or call ,133
recpt  you have ordered a ringtone your order is being processed,64
as one of our registered subscribers u can enter the draw  a  gb gift voucher by replying with enter to unsubscribe text stop,125
for your chance to win a free bluetooth headset then simply reply back with adp,79
dont b floppy b snappy  happy only gay chat service with photo upload call  pmin  stop our texts call ,102
urgent ur awarded a complimentary trip to eurodisinc trav acoentry or еј to claim txt dis to  ејmorefrmmob shracomorsglsuplt ls aj,130
welcome to ukmobiledate this msg is free giving you free calling to  future mgs billed at p daily to cancel send go stop to ,124
 you have received your mobile content enjoy,44
want explicit sex in  secs ring  now costs pmin,47
latest nokia mobile or ipod mp player еј proze guaranteed reply with win to  now norcorp ltdејmtmsgrcvd,103
sms services for your inclusive text credits pls goto wwwcomuknet login qxj unsubscribe with stop no extra charge help comuk cm ae,130
mobile club choose any of the top quality items for your mobile cfcaa,69
money i have won wining number  wot do i do next,48
congrats  mobile g videophones r yours call  now videochat wid ur mates play java games dload polyh music noline rentl bx ip we pm,130
i want some cock my hubbys away i need a real man  satisfy me txt wife to  for no strings action txt stop  end txt rec ејea otbox  la ws ,137
gr new service  live sex video chat on your mob  see the sexiest dirtiest girls live on ur phone   details text horny to  to cancel send stop to ,145
freemsg hi baby wow just got a new cam moby wanna c a hot pic or fancy a chatim win utxt  rply chat to  hlp  msgp rcv,117
wanna have a laugh try chitchat on your mobile now logon by txting the word chat and send it to no  cm po box  london wa zf  pmsg rcvd,134
urgent this is the nd attempt to contact uu have won ејcall  b tcsbcmwcnxxcallcostppmmobilesvary maxеј ,103
congratulations ur awarded  of cd vouchers or gift guaranteed  free entry   wkly draw txt music to ,99
had your contract mobile  mnths latest motorola nokia etc all free double mins  text on orange tariffs text yes for callback no to remove from records,150
urgent call  from your landline your complimentary  ibiza holiday or  cash await collection sae tcs po box  sk wp  ppm ,119
for ur chance to win a еј wkly shopping spree txt shop to  tscs wwwtxtshopcom custcare  xpwk,92
u have a secret admirer who is looking  make contact with ufind out who they rreveal who thinks ur so specialcall on stopsmsppm,127
mila age blonde new in uk i look sex with uk guys if u like fun with me text mtalk to   pptxt st free еј increments help,120
well done england get the official poly ringtone or colour flag on yer mobile text tone or flag to  now optout txt eng stop box wwx еј,134
freemsg txt call to no   claim your reward of  hours talk time to use from your phone now subscribegbpmnth inc hrs  stoptxtstop,127
sunshine quiz win a super sony dvd recorder if you canname the capital of australia text mquiz to  b,100
please call our customer service representative on    between ampm as you have won a guaranteed еј cash or еј prize,115
todays voda numbers ending with  are selected to receive a еј reward if you have a match please call  quoting claim code  standard rates apply,142
you are being ripped off get your mobile content from wwwclubmobycom call  polytruepixringtonesgames six downloads for only ,124
we tried to contact you re your reply to our offer of a video phone  anytime any network mins half price line rental camcorder reply or call ,141
a еј xmas reward is waiting for you our computer has randomly picked you from our loyal mobile customers to receive a еј reward just call  ,139
private your  account statement for shows  unredeemed s i m points call  identifier code  expires ,98
customer service announcement we recently tried to make a delivery to you but were unable to do so please call  to reschedule ref,129
hi babe its chloe how r u i was smashed on saturday night it was great how was your weekend u been missing me sp visionsmscom text stop to stop ptext,149
urgent your mobile no  was awarded a еј bonus caller prize on  this is our nd attempt to contact you call  boxqu,112
win we have a winner mr t foley won an ipod more exciting prizes soon so keep an eye on ur mobile or visit wwwwincouk,117
free game get rayman golf  free from the o games arcade st get ur games settings reply post then save  activ press  key for arcade termsapply,141
had your mobile  mths update to the latest cameravideo phones for free keep ur same number get extra free minstexts text yes for a call,135
buy space invaders  a chance  win orig arcade game console press  for games arcade std wap charge see ocoukgames  terms  settings no purchase,141
camera  you are awarded a sipix digital camera call  fromm landline delivery within  days,89
your weekly coolmob tones are ready to download this weeks new tones include  crazy frogaxel f  akonlonely  black eyeddont p more info in n,139
cashbincouk get lots of cash this weekend wwwcashbincouk dear welcome to the weekend we have got our biggest and best ever cash give away these,143
urgent your mobile number has been awarded with a еј prize guaranteed call  from land line claim  valid hrs only ppm,116
thanks  your continued support your question this week will enter u in our draw  еј cash name the new us president txt ans to ,126
your unique user id is  for removal send stop to  customer services ,68
urgent call from landline your complimentary  ibiza holiday or еј cash await collection sae tcs po box  sk wp ppm ,114
urgent this is our nd attempt to contact u your еј prize from yesterday is still awaiting collection to claim call now ,119
santa calling would your little ones like a call from santa xmas eve call  to book you time callsppm last mins s tc wwwsantacallingcom,134
private your  account statement for  shows  unredeemed bonus points to claim call  identifier code  expires ,108
check out choose your babe videos  smsshsexnetun fgkslpopw fgkslpo,66
u r a winner u ave been specially selected  receive еј cash or a  holiday flights inc speak to a live operator  claim pmin  ,124
new mobiles from  must go txt nokia to no   collect yours today from only еј wwwtcbiz optout gbpmtmsg txtauction,112
private your  account statement for shows  unredeemed s i m points call  identifier code  expires ,98
you have won as a valued vodafone customer our computer has picked you to win a еј prize to collect is easy just call  ,119
free messagethanks for using the auction subscription service   pmsgrcvd  skip an auction txt out  unsubscribe txt stop customercare ,133
bored housewives chat n date now  btnational rate pmin only from landlines,74
lyricalladief is inviting you to be her friend reply yes or no see her wwwsmsacuhmmross stop send stop frnd to ,111
no  polyphonic tone  ur mob every week just txt pt to  st tone free  so get txtin now and tell ur friends ptone  reply hl info,126
todays vodafone numbers ending with  are selected to a receive a еј award if your number matches call  to receive your еј award,127
want the latest video handset  anytime any network mins half price line rental reply or call  for delivery tomorrow,115
ou are guaranteed the latest nokia phone a gb ipod mp player or a еј prize txt word collect to no  ibhltd ldnwh pmtmsgrcvd,122
 free polyphonic ringtone text super to  to get your free poly tone of the week now  sn pobox nr zs subscription pw,115
warner village  c colin farrell in swat this wkend warner village  get  free med popcornjust show msgticketkioskvalid  c tc kiosk reply sony  mre film offers,157
goal arsenal  henry  v liverpool  henry scores with a simple shot from  yards from a pass by bergkamp to give arsenal a  goal margin after  mins,144
this is the nd time we have tried  contact u u have won the  pound prize  claim is easy call  now only p per min btnationalrate,127
got what it takes  take part in the wrc rally in oz u can with lucozade energy text rally le to  p see packs or lucozadecoukwrc  itcould be u,141
hi the sexychat girls are waiting for you to text them text now for a great night chatting send stop to stop this service,121
great news call freefone  to claim your guaranteed еј cash or еј gift speak to a live operator now,98
hi this is amy we will be sending you a free phone number in a couple of days which will give you an access to all the adult parties,132
welcome to select an o service with added benefits you can now call our specially trained advisors free from your mobile by dialling ,133
dear voucher holder have your next meal on us use the following link on your pc  enjoy a    dining experiencehttpwwwvouchmecometlpdiningasp,139
urgent we are trying to contact u todays draw shows that you have won a еј prize guaranteed call  from land line claim  valid hrs only,134
you can donate еј to unicefs asian tsunami disaster support fund by texting donate to  еј will be added to your next bill,121
goldviking m is inviting you to be his friend reply yes or no see him wwwsmsacugoldviking stop send stop frnd to ,113
phony еј award  todays voda numbers ending xxxx are selected to receive a еј award if you have a match please call  quoting claim code  standard rates app,154
cds u congratulations ur awarded еј of cd gift vouchers or еј gift guaranteed  freeentry  еј wkly draw xt music to  tncs wwwldewcomwinppmxage ,142
you have won a guaranteed еј cash or a еј prize to claim yr prize call our customer service representative on  between ampm cost p,130
dear xxxxxxx uve been invited to xchat this is our final attempt to contact u txt chat to  pmsgrcvdhgsuitelandsrowwjhl ldn yrs,126
ur cashbalance is currently  pounds  to maximize ur cashin now send go to  only pmeg cc  hgsuitelands rowwjhl,109
private your  account statement for shows  unredeemed sim points call  identifier codexx expires ,97
id like to tell you my deepest darkest fantasies call me  just pmin to stop texts call  nat rate,96
you wont believe it but its true its incredible txts reply g now to learn truly amazing things that will blow your mind from ofwd only ptxt,139
natalie f is inviting you to be her friend reply yes or no see her wwwsmsacunataliek stop send stop frnd to ,108
jamster to get your free wallpaper text heart to  now tc apply  only need help call ,84
double mins  double txt   price linerental on latest orange bluetooth mobiles call mobileupd for the very latest offers  or calloptoutlf,136
free video camera phones with half price line rental for  mths and  cross ntwk mins  txts call mobileupd  or calloptout,119
 еј uk break accommodationvouchers terms  conditions apply  claim you mustprovide your claim number which is  ,110
p  alfie moons children in need song on ur mob tell ur ms txt tone charity to  for nokias or poly charity for polys zed  profit  charity,136
win a еј shopping spree every week starting now  play text store to  skilgme tscs winawk age ејperweeksub,105
this is the nd attempt to contract u you have won this weeks top prize of either еј cash or еј prize just call ,111
do you want a new nokia i colour phone deliveredtomorrow with  free minutes to any mobile   free texts  free camcorder reply or call ,133
themobhit the link to get a premium pink panther game the new no  from sugababes a crazy zebra animation or a badass hoody wallpaperall  free,141
this msg is for your mobile content order it has been resent as previous attempt failed due to network error queries to customersqueriesnetvisionukcom,150
you have  new message please call ,34
december only had your mobile mths you are entitled to update to the latest colour camera mobile for free call the mobile update vco free on  ,142
get  lions england tone reply lionm  mono or lionp  poly  more go  wwwringtonescouk the original n best tones gbp network operator rates apply,142
private your  account statement for ,36
you ve won your  costa del sol holiday or еј await collection call  now toclaim sae tc s pobox stockport skxh costејpm maxmins,126
free for st week no nokia tone  ur mobile every week just txt nokia to  get txting and tell ur mates wwwgetzedcouk pobox  wwq  normptone,136
get your garden ready for summer with a free selection of summer bulbs and seeds worth еј only with the scotsman this saturday to stop go notxtcouk,147
congrats  mobile g videophones r yours call  now videochat wid ur mates play java games dload polyph music noline rentl bx ip we p,130
sms auction  a brand new nokia  is up  auction today auction is free  join  take part txt nokia to  now,103
ree entry in  a weekly comp for a chance to win an ipod txt pod to  to get entry std txt rate tcs apply  for details ,117
our records indicate u maybe entitled to  pounds in compensation for the accident you had to claim  free reply with claim to this msg  stop txt stop,148
spook up your mob with a halloween collection of a logo  pic message plus a free eerie tone txt card spook to  zed p per logopic ,129
call germany for only  pence per minute call from a fixed line via access number     no prepayment direct access wwwtelediscountcouk,132
you ve won your  costa del sol holiday or еј await collection call  now toclaim sae tc s pobox stockport skxh costејpm maxmins,126
had your mobile mths  update for free to oranges latest colour camera mobiles  unlimited weekend calls call mobile upd on freefone  or stoptxt,142
natalja f is inviting you to be her friend reply yes or no see her wwwsmsacunat stop send stop frnd to ,103
private your  account statement for fone no shows  unredeemed s i m points call  identifier code  expires ,106
you are chosen to receive a еј award pls call claim number  to collect your award which you are selected to receive as a valued mobile customer,143
someonone you know is trying to contact you via our dating service to find out who it could be call from your mobile or landline  boxskch ,138
urgent please call  from a landline еј cash or a  holiday await collection t cs sae po box  mxy ,96
if you dont your prize will go to another customer tc at wwwtcbiz  pmin polo ltd suite  london wj hl please call back if busy ,126
urgent your mobile number has been awarded with a еј prize guaranteed call  from land line claim  valid hrs only ppm,116
urgent you have won a  week free membership in our еј prize jackpot txt the word claim to no  tc wwwdbuknet lccltd pobox ldnwarw,128
urgent please call  from landline еј cash or a luxury  canary islands holiday await collection tcs sae po box  mxy ppm ,119
xmas iscoming  ur awarded either еј cd gift vouchers  free entry  r еј weekly draw txt music to  tnc wwwldewcomwinppmxagesubscription ,134
get the official england poly ringtone or colour flag on yer mobile for tonights game text tone or flag to  optout txt eng stop box wwx еј,138
u r subscribed  textcomp  wkly comp st wks free question follows subsequent wks chargedpmsg unsubscribe txt stop  custcare ,123
call  and send our girls into erotic ecstacy just pmin to stop texts call  nat rate,83
camera  you are awarded a sipix digital camera call  fromm landline delivery within  days,89
a еј xmas reward is waiting for you our computer has randomly picked you from our loyal mobile customers to receive a еј reward just call ,138
important message this is a final contact attempt you have important messages waiting out our customer claims dept expires  call  now,133
datingi have had two of these only started after i sent a text to talk sport radio last week any connection do you think or coincidence,135
the current leading bid is  to pause this auction send out customer care ,73
free entry to the grprizes wkly comp  a chance to win the latest nokia  psp or еј cash every wktxt great to  httpwwwgrprizescom ,128
you have  new message call ,27
santa calling would your little ones like a call from santa xmas eve call  to book your time,92
you have won a guaranteed  award or maybe even еј cash to claim ur award call free on    its a legitimat efreefone number wat do u think,136
latest news police station toilet stolen cops have nothing to go on,67
for the most sparkling shopping breaks from  per person call   or visit wwwshortbreaksorguk,91
december only had your mobile mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on ,140
txt call to no   claim your reward of  hours talk time to use from your phone now subscribegbpmnth inc hrs  stoptxtstop wwwgambtv,129
httptms widelivecomindex wmlidadafirsttrueебc c ringtoneеб,58
get your garden ready for summer with a free selection of summer bulbs and seeds worth еј only with the scotsman this saturday to stop go notxtcouk,147
urgent last weekends draw shows that you have won еј cash or a spanish holiday call now  to claim tc rstm sw ss ppm,115
urgent we are trying to contact you last weekends draw shows u have won a еј prize guaranteed call  claim code k valid hrs p pm,127
p per min to call germany  from your bt line just p per min check planettalkinstantcom for info  ts  cs text stop to opt out,124
marvel mobile play the official ultimate spiderman game еј on ur mobile right now text spider to  for the game  we ll send u a free ball wallpaper,146
sms services for your inclusive text credits pls goto wwwcomuknet login qxj unsubscribe with stop no extra charge help comuk cm ae,130
private your  account statement for  shows  unredeemed s i m points call  identifier code  expires ,99
you are awarded a sipix digital camera call  from landline delivery within days t cs box mbp yr warranty ppm   p pеј,116
private your  account statement for shows  unredeemed sim points call  identifier code  expires ,96
want explicit sex in  secs ring  now costs pmin gsex pobox  wcn xx,66
asked mobile if  chatlines inclu in free mins india cust servs sed yes ler got mega bill  dont giv a shit bailiff due in days i o еј  want еј,141
had your contract mobile  mnths latest motorola nokia etc all free double mins  text on orange tariffs text yes for callback no to remove from records,150
reminder from o to get  pounds free call credit and details of great offers pls reply  this text with your valid name house no and postcode,139
this is the nd time we have tried  contact u u have won the еј pound prize  claim is easy call  now only p per minute btnationalrate,132
